"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"204",1957948178,19343628,85713.756,-150.94429,69.384731,132.81,209.055709,69.384732,134.34,-0.97,-0.78,-0.63,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.53,168.84,4.961,8721.97,0.116,1,1,1,1957948150,15985297,84874.164,-150.944283,69.384735,133,209.05572,69.384736,134.49,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.6,0.75,0.82,0.9,0.97,1.08,1.49,240.56,4.343,8710.29,0.131,1,1,1,0.524184499299437,0.189999999999998,0,0,-0.01,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0.0399999999999999,0,0.0399999999999999,0.04,0.0399999999999999,0,-0.04,242.44,-Inf,-Inf,TRUE,TRUE,NA
"213",1957948178,19343637,85713.758,-150.944098,69.384508,132.94,209.055901,69.384509,134.4,-0.97,-0.78,-0.63,-0.52,-0.45,-0.37,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.75,0.82,0.9,1.05,1.46,168.67,5.131,8724.05,0.133,1,1,1,1957948150,15984096,84873.864,-150.944084,69.384501,133.07,209.055921,69.384501,135.83,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.78,0.82,0.9,1.01,1.27,2.76,241.47,4.373,8709.98,0.088,1,1,1,0.95522705272716,0.129999999999995,0,0,-0.01,0,0,0.03,0,0,0,0.03,0.04,0.04,0.04,0.04,0,0.04,0.04,0.0700000000000001,0.07,0.0800000000000001,0.11,0.22,1.3,242.44,-Inf,-Inf,TRUE,TRUE,NA
"221",1957948178,19343645,85713.76,-150.944033,69.384272,135.19,209.055966,69.384273,136.79,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.56,0.75,0.78,0.86,0.93,1.08,1.6,168.88,5.305,8724.04,0.088,1,1,1,1957948150,15983043,84873.6,-150.944049,69.384272,135.12,209.055953,69.384273,136.62,-1.01,-0.82,-0.67,-0.56,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.82,0.9,0.97,1.12,1.49,242.28,4.442,8709.67,0.089,1,1,1,0.628906998975438,-0.0699999999999932,0,0,0,0,0,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.08,0.0399999999999999,0.03,0.0399999999999999,0.04,0.0399999999999999,0.04,-0.11,242.44,-Inf,-Inf,TRUE,TRUE,NA
"226",1957948178,19343650,85713.761,-150.943718,69.384224,136.4,209.056281,69.384225,137.71,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.82,0.9,1.01,1.31,168.11,5.356,8723.43,0.088,1,1,1,1957948150,15983044,84873.601,-150.943732,69.384225,136.39,209.056271,69.384225,137.92,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.6,0.78,0.82,0.9,0.97,1.12,1.53,241.37,4.386,8706.83,0.15,1,1,1,0.561485578160983,-0.0100000000000193,-0.04,-0.0399999999999999,-0.04,-0.04,-0.04,-0.03,0,0,0,0,0,0,0,0,0,0,0.0399999999999999,0.03,0.0399999999999999,0.0800000000000001,0.07,0.11,0.22,242.44,-Inf,-Inf,TRUE,TRUE,NA
"237",1957948178,19343661,85713.764,-150.943594,69.383914,139.69,209.056406,69.383915,140.92,-0.97,-0.78,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.75,0.78,0.86,0.97,1.23,168.29,5.587,8723.11,0.076,1,1,1,1957948150,15981845,84873.301,-150.943591,69.383917,139.65,209.056412,69.383918,141.11,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.46,241.74,4.458,8704.88,0.088,1,1,1,0.354796652505659,-0.039999999999992,0,0,0.03,0.04,0,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.03,0.08,0.0700000000000001,0.11,0.23,242.44,-Inf,-Inf,TRUE,TRUE,NA
"252",1957948178,19343676,85713.768,-150.943281,69.383543,142.91,209.056718,69.383544,144.18,-1.01,-0.78,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.34,0.41,0.56,0.71,0.75,0.82,0.89,1.01,1.27,168.09,5.871,8724.43,0.116,1,1,1,1957948150,15980644,84873.001,-150.943272,69.383536,143.01,209.056731,69.383536,144.69,-0.97,-0.78,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.45,0.6,0.78,0.82,0.9,0.97,1.12,1.68,241.22,4.515,8701.28,0.061,1,1,1,0.857202814921493,0.0999999999999943,0.04,0,0.03,0.04,0.04,0.03,0,0,0,0,0.04,0.04,0.04,0.04,0.03,0.04,0.0399999999999999,0.0700000000000001,0.07,0.0800000000000001,0.08,0.11,0.41,242.44,-Inf,-Inf,TRUE,TRUE,NA
"284",1957948178,19343708,85713.776,-150.943273,69.383861,140.8,209.056727,69.383863,142.1,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.01,1.31,167.65,5.643,8723.11,0.116,1,1,1,1957948150,15981690,84873.262,-150.943291,69.383855,140.82,209.056712,69.383855,142.39,-1.05,-0.86,-0.67,-0.56,-0.45,-0.37,-0.3,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.86,0.9,1.01,1.16,1.57,241.15,4.412,8702.48,0.062,1,1,1,0.973911908779608,0.0199999999999818,-0.0800000000000001,-0.08,-0.04,-0.04,-0.04,-0.03,-0.04,0,0,0,0,0,0,0,0.03,0.04,0.0399999999999999,0.03,0.08,0.04,0.08,0.15,0.26,242.44,-Inf,-Inf,TRUE,TRUE,NA
"291",1957948178,19343715,85713.778,-150.94327,69.384022,139.45,209.05673,69.384023,140.72,-0.93,-0.75,-0.6,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.71,0.78,0.82,0.9,1.01,1.27,167.39,5.528,8723.12,0.087,1,1,1,1957948150,15981852,84873.303,-150.943259,69.384029,139.42,209.056744,69.38403,141.25,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.86,0.93,1.01,1.16,1.83,242.14,4.344,8703.99,0.088,1,1,1,0.892520647681417,-0.0300000000000011,-0.0399999999999999,-0.03,-0.04,0,-0.04,0,0,0,0,0,0,0,0,0,0.03,0.04,0.0399999999999999,0.0700000000000001,0.08,0.11,0.11,0.15,0.56,242.44,-Inf,-Inf,TRUE,TRUE,NA
"304",1957948178,19343728,85713.781,-150.943388,69.384329,136.42,209.056612,69.38433,137.65,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.75,0.82,0.9,0.97,1.23,167.21,5.301,8722.54,0.143,1,1,1,1957948150,15983051,84873.602,-150.943398,69.384337,136.37,209.056605,69.384338,138.28,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.82,0.9,0.97,1.12,1.91,241.77,4.271,8705.94,0.105,1,1,1,0.975073234643223,-0.0499999999999829,0,0,0,0,0,0,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.07,0.0800000000000001,0.07,0.15,0.68,242.44,-Inf,-Inf,TRUE,TRUE,NA
"308",1957948178,19343732,85713.782,-150.943762,69.384449,134.16,209.056237,69.38445,135.58,-1.01,-0.78,-0.67,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.42,168.05,5.193,8723.59,0.105,1,1,1,1957948150,15984091,84873.862,-150.943768,69.384453,134.15,209.056236,69.384453,136.2,-1.01,-0.78,-0.67,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.86,0.93,1.05,1.2,2.06,240.55,4.319,8708.79,0.105,1,1,1,0.50466468712051,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.0399999999999999,0.03,0.08,0.0700000000000001,0.12,0.12,0.64,242.44,-Inf,-Inf,TRUE,TRUE,NA
"1394",1957948178,19344821,85714.054,-150.943467,69.384776,134.65,209.056533,69.384778,136.37,-1.12,-0.9,-0.71,-0.6,-0.49,-0.37,-0.3,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.3,0.37,0.49,0.63,0.82,0.9,0.97,1.08,1.23,1.72,169.25,4.997,8720.46,0.054,1,1,1,1957948150,15984255,84873.903,-150.943448,69.384781,134.9,209.056555,69.384782,136.84,-1.05,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.15,0.22,0.3,0.41,0.52,0.67,0.9,0.97,1.05,1.16,1.35,1.94,242.44,4.133,8705.65,0.122,1,1,1,0.932076305407349,0.25,0.0700000000000001,0.0800000000000001,0.0399999999999999,0.0399999999999999,0.04,0,0.04,0,0,0,0,0.04,0.03,0,0.04,0.03,0.04,0.0800000000000001,0.07,0.0800000000000001,0.0799999999999998,0.12,0.22,242.44,-Inf,-Inf,TRUE,TRUE,NA
"1399",1957948178,19344826,85714.055,-150.943151,69.384728,135.3,209.056848,69.38473,136.83,-1.16,-0.93,-0.78,-0.63,-0.52,-0.41,-0.34,-0.22,-0.15,-0.07,0,0.11,0.19,0.26,0.37,0.49,0.63,0.82,0.86,0.93,1.05,1.16,1.53,168.43,5.048,8720.16,0.101,1,1,1,1957948150,15984256,84873.904,-150.943133,69.384734,135.48,209.05687,69.384734,137.05,-1.2,-0.93,-0.78,-0.64,-0.52,-0.41,-0.34,-0.22,-0.15,-0.07,0,0.11,0.19,0.26,0.37,0.49,0.64,0.82,0.9,0.97,1.05,1.2,1.57,241.47,4.078,8705.21,0.134,1,1,1,0.973891111173003,0.179999999999978,-0.04,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0.0399999999999999,0,0.04,0.04,242.44,-Inf,-Inf,TRUE,TRUE,NA
"1429",1957948178,19344856,85714.063,-150.942509,69.383985,141.64,209.05749,69.383986,142.87,-1.01,-0.78,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.07,0.15,0.26,0.34,0.45,0.56,0.71,0.78,0.82,0.9,1.01,1.23,167.95,5.618,8721.91,0.088,1,1,1,1957948150,15981678,84873.259,-150.942504,69.383993,141.69,209.057499,69.383993,143.56,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.97,1.12,1.87,241.05,4.185,8700.1,0.143,1,1,1,0.913724945486674,0.0500000000000114,0,-0.0399999999999999,0,0,0,0,-0.04,-0.03,-0.04,-0.03,-0.04,0,0,0,0,0,0,0.04,0,0.04,0.07,0.11,0.64,242.44,-Inf,-Inf,TRUE,TRUE,NA
"1444",1957948178,19344871,85714.067,-150.942185,69.383613,144.48,209.057814,69.383614,145.68,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.75,0.78,0.86,0.97,1.19,167.74,5.903,8723.68,0.046,1,1,1,1957948150,15980477,84872.959,-150.942189,69.383619,144.5,209.057813,69.383619,145.88,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.56,0.71,0.78,0.82,0.9,1.05,1.38,240.58,4.241,8696.95,0.131,1,1,1,0.687474940405449,0.0200000000000102,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.04,0,0.04,0.0399999999999999,0.03,0.0399999999999999,0.04,0.0800000000000001,0.19,242.44,-Inf,-Inf,TRUE,TRUE,NA
"1498",1957948178,19344925,85714.08,-150.942234,69.384162,140.78,209.057765,69.384163,141.97,-0.97,-0.78,-0.63,-0.52,-0.45,-0.37,-0.26,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.71,0.75,0.78,0.86,0.97,1.19,167.1,5.508,8721.02,0.061,1,1,1,1957948150,15981866,84873.306,-150.942217,69.384165,140.78,209.057785,69.384165,142.57,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.45,0.6,0.78,0.86,0.9,1.01,1.16,1.79,241.57,4.06,8699.51,0.061,1,1,1,0.747321087500522,0,-0.04,-0.0399999999999999,-0.04,-0.04,0,0,0,0,0.04,0.03,0.04,0.04,0.04,0.04,0.07,0.04,0.08,0.0700000000000001,0.11,0.12,0.15,0.19,0.6,242.44,-Inf,-Inf,TRUE,TRUE,NA
"1512",1957948178,19344939,85714.084,-150.942675,69.384517,137.12,209.057324,69.384518,138.42,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.82,0.9,1.01,1.31,167.71,5.228,8720.59,0.116,1,1,1,1957948150,15983064,84873.606,-150.942669,69.38452,137.2,209.057333,69.384521,138.81,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.61,242.15,4.043,8702.06,0.088,1,1,1,0.409382849821196,0.0799999999999841,-0.04,-0.0399999999999999,-0.04,-0.04,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,-0.04,-0.04,-0.04,-0.04,0,0,0,0,0,0.04,0.03,0.0700000000000001,0.3,242.44,-Inf,-Inf,TRUE,TRUE,NA
"2601",1957948178,19346029,85714.356,-150.942012,69.384584,138.53,209.057988,69.384585,139.84,-0.97,-0.78,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.71,0.75,0.78,0.86,0.97,1.31,168.28,5.237,8719.54,0.116,1,1,1,1957948150,15983072,84873.608,-150.942021,69.384586,138.51,209.057982,69.384587,140.53,-0.97,-0.79,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.3,0.37,0.49,0.6,0.79,0.86,0.93,1.01,1.2,2.02,241.6,3.873,8699.68,0.088,1,1,1,0.418221519215103,-0.0200000000000102,0,-0.01,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.08,0.07,0.08,0.08,0.0800000000000001,0.11,0.15,0.15,0.23,0.71,242.44,-Inf,-Inf,TRUE,TRUE,NA
"2612",1957948178,19346040,85714.359,-150.941893,69.384274,140.76,209.058107,69.384275,142.14,-0.93,-0.75,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.04,1.38,168.47,5.467,8720.12,0.116,1,1,1,1957948150,15981873,84873.308,-150.941886,69.384276,140.85,209.058116,69.384277,142.45,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.26,0.34,0.45,0.56,0.75,0.82,0.86,0.97,1.08,1.61,242,3.946,8697.43,0.116,1,1,1,0.354220795612937,0.0900000000000034,-0.08,-0.07,-0.04,-0.04,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,-0.04,-0.04,-0.04,0,0,0,0,0,0.0399999999999999,0,0.0399999999999999,0.04,0.23,242.44,-Inf,-Inf,TRUE,TRUE,NA
"2646",1957948178,19346074,85714.367,-150.941089,69.383468,146.56,209.058911,69.383469,147.83,-0.97,-0.78,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.75,0.82,0.89,1.01,1.27,167.73,6.09,8723.66,0.088,1,1,1,1957948150,15979266,84872.656,-150.941112,69.383471,146.57,209.05889,69.383471,148.06,-1.01,-0.78,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.5,240.79,4.043,8692.92,0.088,1,1,1,0.964027176849684,0.00999999999999091,-0.04,0,0,0,0,0,0,0,0.04,0.03,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.03,0.04,0.04,0.0700000000000001,0.23,242.44,-Inf,-Inf,TRUE,TRUE,NA
"2725",1957948178,19346153,85714.387,-150.94204,69.384809,138,209.057959,69.38481,139.39,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.56,0.71,0.78,0.82,0.9,1.05,1.38,168.28,5.077,8717.76,0.088,1,1,1,1957948150,15984065,84873.856,-150.942057,69.384804,138.02,209.057945,69.384805,139.55,-1.01,-0.79,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.82,0.86,0.97,1.08,1.53,240.74,3.809,8699.24,0.105,1,1,1,0.87036135129845,0.0200000000000102,0,0.0299999999999999,0.03,0.04,0,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0,0.04,0,0.04,0.0399999999999999,0.04,0.07,0.03,0.15,242.44,-Inf,-Inf,TRUE,TRUE,NA
"3824",1957948178,19347253,85714.662,-150.940485,69.383964,145.42,209.059514,69.383966,146.65,-0.97,-0.78,-0.63,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.75,0.78,0.86,0.97,1.23,167.92,5.789,8721.14,0.16,1,1,1,1957948150,15980451,84872.952,-150.940486,69.383972,145.31,209.059516,69.383972,147,-0.97,-0.79,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.45,0.6,0.79,0.82,0.9,0.97,1.12,1.68,240.81,3.73,8690.85,0.088,1,1,1,0.893202925742566,-0.109999999999985,0,-0.01,-0.01,0,0.04,0,0,0,0,0,0.04,0.04,0.04,0.04,0.03,0.04,0.08,0.0800000000000001,0.07,0.12,0.11,0.15,0.45,242.44,-Inf,-Inf,TRUE,TRUE,NA
"3851",1957948178,19347280,85714.669,-150.939916,69.383296,148.44,209.060083,69.383297,149.75,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.19,-0.11,-0.04,0,0.07,0.19,0.26,0.34,0.45,0.56,0.74,0.78,0.86,0.93,1.04,1.3,167.6,6.299,8725.59,0.088,1,1,1,1957948150,15978054,84872.353,-150.939925,69.383297,148.54,209.060077,69.383298,149.96,-0.97,-0.79,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.56,0.71,0.79,0.82,0.9,1.01,1.42,240.58,3.83,8688.14,0.116,1,1,1,0.370943525634481,0.0999999999999943,0.04,0.0299999999999999,0.03,0.04,0,0.03,0.04,0,0,-0.03,0,0,-0.04,-0.04,0,-0.04,0,-0.03,0.01,-0.04,-0.03,-0.03,0.12,242.44,-Inf,-Inf,TRUE,TRUE,NA
"3862",1957948178,19347291,85714.672,-150.9396,69.383248,148.77,209.060399,69.383249,150.07,-1.01,-0.78,-0.67,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.74,0.78,0.86,0.93,1.04,1.3,166.97,6.352,8725.73,0.105,1,1,1,1957948150,15978049,84872.352,-150.939609,69.383249,148.85,209.060393,69.38325,150.38,-0.97,-0.79,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.79,0.86,0.93,1.08,1.53,239.52,3.777,8687.55,0.143,1,1,1,0.370944260335704,0.0799999999999841,0.04,-0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.04,0.23,242.44,-Inf,-Inf,TRUE,TRUE,NA
"4985",1957948178,19348414,85714.952,-150.940307,69.384951,141.96,209.059692,69.384952,143.64,-1.01,-0.78,-0.63,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.6,0.75,0.82,0.9,0.97,1.12,1.68,168.46,5.113,8714.61,0.131,1,1,1,1957948150,15983100,84873.615,-150.940318,69.384949,141.94,209.059685,69.38495,143.81,-1.05,-0.82,-0.67,-0.56,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.22,0.3,0.41,0.52,0.64,0.86,0.9,0.97,1.08,1.27,1.87,241.93,3.36,8691.32,0.097,1,1,1,0.486519873111031,-0.0200000000000102,-0.04,-0.0399999999999999,-0.04,-0.04,0,0,0,0,0,0,0,0,0.03,0.04,0.07,0.07,0.04,0.11,0.0800000000000001,0.07,0.11,0.15,0.19,242.44,-Inf,-Inf,TRUE,TRUE,NA
"4991",1957948178,19348420,85714.954,-150.940183,69.384803,142.48,209.059816,69.384804,144.12,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.86,0.93,1.01,1.16,1.64,168.37,5.226,8715.5,0.141,1,1,1,1957948150,15982839,84873.549,-150.940173,69.384803,142.63,209.05983,69.384803,144.24,-1.05,-0.82,-0.67,-0.56,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.15,0.22,0.3,0.41,0.52,0.64,0.82,0.9,0.97,1.05,1.2,1.61,240.92,3.377,8690.57,0.089,1,1,1,0.393056966784692,0.150000000000006,-0.04,0,0,0,0,0.03,0,0,0,0,0,0.04,0.03,0.04,0.04,0.03,0.04,0.0399999999999999,0.04,0.0399999999999999,0.04,0.04,-0.0299999999999998,242.44,-Inf,-Inf,TRUE,TRUE,NA
"5001",1957948178,19348430,85714.956,-150.940187,69.384479,143.62,209.059812,69.38448,145,-0.97,-0.78,-0.63,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.82,0.93,1.04,1.38,168.91,5.459,8716.98,0.143,1,1,1,1957948150,15981895,84873.313,-150.940196,69.384474,143.69,209.059807,69.384474,145.52,-0.97,-0.79,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.45,0.6,0.75,0.82,0.86,0.97,1.12,1.83,240.66,3.494,8690.56,0.088,1,1,1,0.660443273335557,0.0699999999999932,0,-0.01,-0.01,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.0399999999999999,0,0.0399999999999999,0.04,0.0399999999999999,0.0800000000000001,0.45,242.44,-Inf,-Inf,TRUE,TRUE,NA
"5028",1957948178,19348457,85714.963,-150.939622,69.383811,147.32,209.060378,69.383812,148.55,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.56,0.71,0.75,0.82,0.89,1.01,1.23,168.49,5.969,8721.43,0.116,1,1,1,1957948150,15979495,84872.713,-150.939617,69.383811,147.4,209.060385,69.383812,148.75,-1.01,-0.79,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.56,0.71,0.79,0.82,0.9,1.01,1.35,240.52,3.586,8687.26,0.076,1,1,1,0.196537510128147,0.0800000000000125,-0.04,-0.01,-0.04,-0.04,-0.04,-0.03,0,0,0,-0.03,-0.04,-0.04,-0.04,-0.04,0,0,0,0,0.04,0,0.01,0,0.12,242.44,-Inf,-Inf,TRUE,TRUE,NA
"5074",1957948178,19348503,85714.975,-150.938841,69.383567,148.88,209.061158,69.383568,150.03,-0.97,-0.78,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.75,0.78,0.86,0.93,1.15,167.08,6.188,8723.2,0.088,1,1,1,1957948150,15978301,84872.415,-150.93883,69.383561,148.94,209.061172,69.383561,150.33,-0.97,-0.79,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.79,0.82,0.9,1.01,1.38,240.24,3.49,8684.72,0.088,1,1,1,0.79678007675911,0.0600000000000023,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.0399999999999999,0.04,0.0399999999999999,0.04,0.08,0.23,242.44,-Inf,-Inf,TRUE,TRUE,NA
