"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"136214",1957937633,3069844,87362.917,-146.320941,64.209278,307.1,213.679082,64.209288,325.28,-1.01,-0.52,-0.19,0.11,0.45,0.82,1.27,1.72,2.13,2.46,2.73,2.99,3.25,3.51,3.77,4.11,4.48,5.04,5.23,5.49,6.01,13.74,18.18,223.88,4.947,8412.59,0.442,1,1,1,1958696634,75891995,88389.54363,-146.320942,64.209274,307.48,213.67906,64.209276,312.27,213.679061,64.209277,315,-0.79,-0.49,-0.19,0.11,0.56,1.31,2.06,2.66,3.11,3.41,3.71,4,4.15,4.45,4.75,4.9,5.2,5.5,5.5,5.65,5.8,6.1,7.52,197.83,2.952,6460.78,0.407,0.993,1,1,1,0.448385678334486,0.379999999999995,0.22,0.03,0,0,0.11,0.49,0.79,0.94,0.98,0.95,0.98,1.01,0.9,0.94,0.98,0.79,0.72,0.46,0.27,0.16,-0.21,-7.64,-10.66,226.66,-Inf,-Inf,TRUE,TRUE,NA
"136238",1957937633,3069868,87362.923,-146.321769,64.209015,307.51,213.678257,64.209026,327.47,-0.75,-0.45,-0.22,-0.04,0.15,0.37,0.71,1.9,3.69,6.53,7.43,8.32,9.59,10.56,11.27,11.94,12.61,13.43,13.73,14.37,15.97,17.84,19.96,224.46,5.281,8413.76,0.508,1,1,1,1958696634,75892194,88389.59338,-146.321768,64.209023,307.99,213.67824,64.209032,327.28,213.678241,64.209033,328.29,-0.95,-0.8,-0.65,-0.5,-0.35,-0.2,-0.05,0.1,0.1,0.25,0.55,1.6,3.54,5.19,6.08,7.43,10.42,12.37,12.82,13.42,14.61,17.91,20.3,200.94,3.315,6459.87,0.451,0.991,1,2,1,0.892820514688558,0.480000000000018,-0.2,-0.35,-0.43,-0.46,-0.5,-0.57,-0.76,-1.8,-3.59,-6.28,-6.88,-6.72,-6.05,-5.37,-5.19,-4.51,-2.19,-1.06,-0.91,-0.949999999999999,-1.36,0.0700000000000003,0.34,226.66,-Inf,-Inf,FALSE,TRUE,NA
"136273",1957937633,3069903,87362.932,-146.320629,64.209566,306.92,213.679398,64.209578,329.62,0.04,0.93,2.65,3.55,4.63,6.61,9.75,11.28,12.32,13.37,14.53,15.31,15.98,16.69,18.04,19.2,20.09,20.88,21.03,21.21,21.44,21.77,22.71,224.68,4.717,8407.81,0.71,1,1,1,1958696634,75891977,88389.53913,-146.320609,64.209565,307.15,213.679397,64.209573,327.96,213.679398,64.209574,330.43,0.45,3.44,5.39,7.34,9.43,10.63,11.98,13.03,14.37,15.27,15.87,16.47,17.52,18.72,19.62,20.21,20.81,21.26,21.41,21.56,21.71,21.86,23.28,196.94,2.634,6454.95,0.642,0.992,1,1,1,0.977297313345591,0.229999999999961,0.41,2.51,2.74,3.79,4.8,4.02,2.23,1.75,2.05,1.9,1.34,1.16,1.54,2.03,1.58,1.01,0.719999999999999,0.380000000000003,0.379999999999999,0.349999999999998,0.27,0.0899999999999999,0.57,226.66,-Inf,-Inf,TRUE,TRUE,NA
"136274",1957937633,3069904,87362.932,-146.320694,64.209591,308.07,213.679337,64.209604,333.5,-0.9,-0.34,0.19,0.75,1.31,1.87,2.99,9.67,12.88,14.57,15.54,16.54,17.4,18.15,19.72,21.32,22.11,22.93,23.15,23.45,23.79,24.31,25.43,225.02,4.72,8407.8,0.663,1,1,1,1958696634,75891978,88389.53938,-146.320694,64.209583,307.17,213.679313,64.209592,331.39,213.679315,64.209594,335.36,0.9,1.8,2.4,2.7,3.14,3.44,3.89,4.19,4.79,11.23,15.27,17.97,21.41,22.91,23.66,24.41,25.01,25.9,26.05,26.2,26.5,26.8,28.19,197.81,2.628,6456.75,0.615,0.993,1,1,1,0.891499768501285,-0.899999999999977,1.8,2.14,2.21,1.95,1.83,1.57,0.9,-5.48,-8.09,-3.34,-0.27,1.43,4.01,4.76,3.94,3.09,2.9,2.97,2.9,2.75,2.71,2.49,2.76,226.66,-Inf,-Inf,TRUE,TRUE,NA
"136276",1957937633,3069906,87362.933,-146.32054,64.209615,306.7,213.67948,64.209624,323.88,-0.56,-0.15,0.22,0.67,1.34,2.13,2.73,3.21,3.66,4.07,4.52,5.15,6.01,7.25,8.89,9.93,13.37,14.53,14.75,14.98,15.28,15.69,17.18,224.73,4.67,8408.56,0.525,1,1,1,1958696634,75891974,88389.53838,-146.320558,64.209611,306.98,213.679445,64.209615,318.92,213.679446,64.209617,322.48,-0.86,-0.56,-0.41,-0.11,0.04,0.19,0.49,0.79,1.24,1.98,2.73,3.33,4.53,5.88,7.82,9.17,10.52,12.02,12.32,12.77,13.21,13.81,15.5,196.8,2.584,6456.6,0.446,0.991,1,1,1,0.980953949186942,0.28000000000003,-0.3,-0.41,-0.63,-0.78,-1.3,-1.94,-2.24,-2.42,-2.42,-2.09,-1.79,-1.82,-1.48,-1.37,-1.07,-0.76,-2.85,-2.51,-2.43,-2.21,-2.07,-1.88,-1.68,226.66,-Inf,-Inf,TRUE,TRUE,NA
"136293",1957937633,3069924,87362.937,-146.320227,64.209903,307.09,213.679795,64.209912,326.52,-1.23,-0.71,-0.37,-0.11,0.11,0.37,0.67,0.97,1.31,1.64,1.98,2.32,2.73,3.21,3.81,4.67,11.21,12.59,12.85,13.3,15.95,17.52,19.43,225.73,4.442,8405.88,0.459,1,1,1,1958696634,75891956,88389.53388,-146.320223,64.209903,306.88,213.679782,64.20991,327.81,213.679783,64.209911,331.33,-0.52,-0.22,0.07,0.52,1.42,2.32,3.22,9.36,12.51,15.95,17,17.9,18.8,19.85,20.44,20.89,21.49,22.24,22.39,22.69,22.84,23.14,24.45,195.61,2.266,6455.71,0.596,0.994,1,1,1,0.194182264750764,-0.20999999999998,0.71,0.49,0.44,0.63,1.31,1.95,2.55,8.39,11.2,14.31,15.02,15.58,16.07,16.64,16.63,16.22,10.28,9.65,9.54,9.39,6.89,5.62,5.02,226.66,-Inf,-Inf,TRUE,TRUE,NA
"136340",1957937633,3069971,87362.949,-146.318753,64.210652,305.61,213.681268,64.21066,326.48,-0.75,-0.49,-0.3,-0.11,0.04,0.22,0.45,0.75,2.17,6.13,7.11,7.89,8.68,9.65,10.32,10.88,11.78,15.22,15.86,16.57,17.5,19.11,20.87,226.62,3.693,8397.23,0.473,1,1,1,1958696634,75891022,88389.30038,-146.318746,64.210654,305.98,213.681256,64.210658,327.24,213.681256,64.210658,328.25,-0.88,-0.73,-0.58,-0.43,-0.28,-0.13,0.02,0.02,0.17,0.47,0.77,5.72,7.07,8.12,9.31,10.36,12.16,16.96,17.41,18.01,18.61,19.8,22.28,194.35,1.301,6450.63,0.522,0.992,1,2,1,0.406379077377651,0.370000000000005,-0.13,-0.24,-0.28,-0.32,-0.32,-0.35,-0.43,-0.73,-2,-5.66,-6.34,-2.17,-1.61,-1.53,-1.01,-0.520000000000001,0.380000000000001,1.74,1.55,1.44,1.11,0.690000000000001,1.41,226.66,-Inf,-Inf,FALSE,TRUE,NA
"136342",1957937633,3069973,87362.949,-146.318597,64.210676,305.59,213.681407,64.210678,309.59,-1.12,-0.86,-0.64,-0.49,-0.37,-0.26,-0.15,-0.04,0.07,0.19,0.3,0.41,0.56,0.75,1.05,1.42,1.83,2.36,2.51,2.66,2.88,3.22,4,226.27,3.643,8397.53,0.239,1,1,1,1958696634,75891024,88389.30088,-146.318606,64.210683,306.03,213.681394,64.210683,306.03,213.681394,64.210684,309.4,-1.27,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.37,0.52,0.67,1.57,1.72,2.02,2.32,2.62,3.37,191.98,1.26,6455.42,0.519,0.977,2,2,2,0.894078986714644,0.439999999999998,-0.15,-0.11,-0.18,-0.18,-0.15,-0.26,-0.22,-0.18,-0.29,-0.26,-0.37,-0.34,-0.49,-0.53,-0.68,-0.9,-1.16,-0.79,-0.79,-0.64,-0.56,-0.6,-0.63,226.66,-Inf,-Inf,FALSE,FALSE,NA
"137596",1957937633,3071238,87363.266,-146.319547,64.210593,306.11,213.680477,64.210604,331.05,-0.67,-0.41,-0.15,0.04,0.3,0.56,1.05,2.21,3.29,4.86,7.29,9.27,10.43,11.33,12.97,14.73,15.82,19.74,21.05,22.21,22.99,23.67,24.94,224.99,3.867,8397.97,0.587,1,1,1,1958696634,75891915,88389.52363,-146.319536,64.210594,306.5,213.680467,64.210599,329.46,213.680467,64.2106,330.33,-0.79,-0.64,-0.34,-0.19,-0.04,0.11,0.41,0.71,1.16,2.21,3.11,4.31,6.26,8.95,10.3,11.35,14.35,15.85,16.15,16.45,16.89,20.34,23.82,192.46,1.528,6452.12,0.552,0.991,1,1,1,0.545491920989678,0.389999999999986,-0.12,-0.23,-0.19,-0.23,-0.34,-0.45,-0.64,-1.5,-2.13,-2.65,-4.18,-4.96,-4.17,-2.38,-2.67,-3.38,-1.47,-3.89,-4.9,-5.76,-6.1,-3.33,-1.12,226.66,-Inf,-Inf,TRUE,TRUE,NA
"137597",1957937633,3071239,87363.266,-146.319613,64.210617,306.24,213.680411,64.210627,330.77,-0.64,-0.34,-0.07,0.15,0.45,0.86,2.39,5.76,10.32,12,12.9,13.68,14.84,16,17.31,18.54,20.04,21.35,21.65,22.06,22.66,23.37,24.53,225.41,3.87,8397.22,0.615,1,1,1,1958696634,75891916,88389.52388,-146.319631,64.210614,306.54,213.680373,64.21062,334.15,213.680373,64.210621,337.11,0.22,1.57,3.82,10.71,12.96,14.31,16.26,18.06,19.55,21.05,22.1,23.9,25.1,26,26.6,27.2,27.8,28.55,28.7,28.84,28.99,29.29,30.57,194.12,1.518,6450.62,0.68,0.991,1,1,1,0.935567926348357,0.300000000000011,0.86,1.91,3.89,10.56,12.51,13.45,13.87,12.3,9.23,9.05,9.2,10.22,10.26,10,9.29,8.66,7.76,7.2,7.05,6.78,6.33,5.92,6.04,226.66,-Inf,-Inf,TRUE,TRUE,NA
