"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"7",1957949067,7939397,67867.88,-146.227107,66.605594,127.95,213.772884,66.605597,135.2,-0.97,-0.67,-0.45,-0.22,-0.07,0.11,0.3,0.52,0.78,1.23,1.94,2.65,3.36,3.85,4.22,4.56,4.97,5.61,5.76,5.98,6.2,6.5,7.25,127.96,4.116,8647.36,0.391,1,1,1,1958686303,36171150,70639.32029,-146.227096,66.605593,128.63,213.772906,66.605593,132,213.772909,66.605593,135.6,-1.2,-0.9,-0.6,-0.45,-0.3,-0.15,0.15,0.3,0.45,0.75,1.5,2.1,2.55,3,3.45,3.89,4.34,4.94,5.24,5.39,5.54,5.84,6.97,282.53,2.136,12622.7,0.381,0.983,1,1,1,0.499977462436019,0.679999999999993,-0.23,-0.23,-0.15,-0.23,-0.23,-0.26,-0.15,-0.22,-0.33,-0.48,-0.44,-0.55,-0.81,-0.85,-0.77,-0.669999999999999,-0.63,-0.67,-0.52,-0.590000000000001,-0.66,-0.66,-0.28,294.64,-Inf,-Inf,TRUE,TRUE,NA
"47",1957949067,7939442,67867.892,-146.229329,66.606338,124.11,213.77067,66.606338,125.19,-0.94,-0.75,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.37,0.49,0.67,0.71,0.75,0.82,0.9,1.08,127.55,3.262,8639.33,0.114,1,1,1,1958686303,36171116,70639.31179,-146.229327,66.606336,124.49,213.770673,66.606336,124.49,213.770675,66.606336,126.21,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0.15,0.15,0.15,0.3,0.45,0.45,0.6,0.6,0.75,1.72,288.14,2.669,12629.56,0.072,0.961,1,1,1,0.239911553018943,0.379999999999995,0.0399999999999999,0,0.04,-0.08,-0.04,-0.11,-0.04,-0.11,0,-0.08,-0.15,-0.07,-0.15,-0.07,-0.15,-0.22,-0.19,-0.22,-0.26,-0.15,-0.22,-0.15,0.64,294.64,-Inf,-Inf,TRUE,TRUE,NA
"158",1957949067,7939553,67867.919,-146.234834,66.608169,123.88,213.765166,66.608169,124.9,-0.94,-0.79,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.37,0.49,0.64,0.67,0.75,0.79,0.86,1.01,124.24,1.153,8628.61,0.145,1,1,1,1958686303,36170811,70639.23554,-146.234818,66.608169,124.02,213.765182,66.608169,124.02,213.765185,66.608169,125.66,-1.08,-0.93,-0.78,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.41,0.56,0.56,0.71,1.64,294.64,4.051,12647.13,0.088,0.955,1,1,1,0.708860371310411,0.140000000000001,-0.14,-0.14,-0.14,-0.12,-0.04,-0.15,-0.08,-0.15,-0.04,-0.12,-0.19,-0.11,-0.19,-0.11,-0.19,-0.11,-0.23,-0.23,-0.26,-0.19,-0.23,-0.15,0.63,294.64,-Inf,-Inf,TRUE,TRUE,NA
"168",1957949067,7939563,67867.922,-146.235575,66.608297,126.96,213.764423,66.608298,132.99,-0.49,-0.04,0.41,1.05,1.65,2.06,2.36,2.62,2.85,3.07,3.26,3.45,3.63,3.78,3.97,4.2,4.42,4.8,4.87,5.02,5.17,5.4,6.03,127.14,0.92,8626.52,0.347,1,1,1,1958686303,36170821,70639.23804,-146.235578,66.608289,129.76,213.764422,66.608289,129.76,213.764428,66.608288,133.75,-2.5,-2.06,-1.61,-1.31,-1.01,-0.71,-0.56,-0.41,-0.26,-0.11,0.19,0.34,0.49,0.78,0.93,1.23,1.68,2.13,2.28,2.43,2.58,2.88,4,294.56,4.216,12647.41,0.31,0.98,1,1,1,0.901635608380162,2.8,-2.01,-2.02,-2.02,-2.36,-2.66,-2.77,-2.92,-3.03,-3.11,-3.18,-3.07,-3.11,-3.14,-3,-3.04,-2.97,-2.74,-2.67,-2.59,-2.59,-2.59,-2.52,-2.03,294.64,-Inf,-Inf,TRUE,TRUE,NA
"968",1957949067,7940366,67868.123,-146.232122,66.607508,124.65,213.767877,66.607509,125.7,-0.9,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.71,0.75,0.82,0.9,1.05,127.54,2.08,8631.44,0.083,1,1,1,1958686303,36170774,70639.22629,-146.232104,66.607504,125,213.767896,66.607504,125,213.767898,66.607504,126.76,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.64,0.64,0.79,1.76,293.16,3.421,12638.05,0.076,0.959,1,1,1,0.913679148542377,0.349999999999994,-0.11,-0.11,-0.11,-0.0700000000000001,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.18,-0.11,-0.18,-0.11,-0.22,-0.18,-0.18,-0.22,-0.11,-0.18,-0.11,0.71,294.64,-Inf,-Inf,TRUE,TRUE,NA
"988",1957949067,7940386,67868.128,-146.231171,66.607133,127,213.768824,66.607135,133.4,-1.57,-1.12,-0.86,-0.6,-0.41,-0.22,-0.04,0.15,0.37,0.6,0.86,1.27,1.91,2.58,3.14,3.71,4.23,4.79,4.94,5.09,5.28,5.58,6.4,128.79,2.473,8634.87,0.472,1,1,1,1958686303,36170760,70639.22279,-146.231152,66.607131,128.07,213.768852,66.607131,131.55,213.768858,66.60713,136.56,-1.23,-0.64,-0.19,0.26,0.71,1.31,1.76,2.21,2.51,2.81,3.11,3.4,3.55,3.85,4.15,4.6,5.2,6.1,6.4,6.7,7,7.45,8.49,291.32,3.175,12633.42,0.459,0.982,1,1,1,0.870829546360526,1.06999999999999,0.34,0.48,0.67,0.86,1.12,1.53,1.8,2.06,2.14,2.21,2.25,2.13,1.64,1.27,1.01,0.89,0.97,1.31,1.46,1.61,1.72,1.87,2.09,294.64,-Inf,-Inf,TRUE,TRUE,NA
"1008",1957949067,7940406,67868.133,-146.230205,66.606757,124.13,213.769793,66.606757,125.44,-0.97,-0.79,-0.64,-0.52,-0.45,-0.37,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.56,0.71,0.79,0.82,0.94,1.05,1.31,129.66,2.868,8636.65,0.134,1,1,1,1958686303,36170746,70639.21929,-146.230187,66.606757,124.86,213.769813,66.606757,124.86,213.769816,66.606757,126.96,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.64,0.79,0.79,0.94,1.09,2.1,289.18,2.929,12632.24,0.079,0.968,1,1,1,0.797513437525598,0.730000000000004,-0.04,-0.07,-0.07,-0.04,-0.11,-0.04,-0.15,-0.07,-0.15,-0.04,-0.11,-0.03,-0.11,-0.03,-0.15,-0.07,-0.0700000000000001,-0.07,0,-0.0299999999999999,0,0.04,0.79,294.64,-Inf,-Inf,TRUE,TRUE,NA
"1010",1957949067,7940408,67868.133,-146.230057,66.606827,123.93,213.769942,66.606828,125.01,-0.94,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.71,0.79,0.82,0.94,1.09,128.3,2.869,8636.5,0.145,1,1,1,1958686303,36170745,70639.21904,-146.230069,66.606822,124.4,213.769931,66.606822,124.4,213.769933,66.606822,126.19,-0.94,-0.79,-0.64,-0.64,-0.49,-0.34,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.41,0.56,0.56,0.71,1.8,289.93,2.918,12632.09,0.134,0.976,1,1,1,0.770281956709647,0.469999999999999,0,-0.04,-0.04,-0.15,-0.08,0,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.23,-0.15,-0.23,-0.15,-0.26,-0.26,-0.3,-0.23,-0.26,-0.23,0.71,294.64,-Inf,-Inf,TRUE,TRUE,NA
"1062",1957949067,7940462,67868.147,-146.227393,66.605952,126.43,213.772584,66.605959,145.46,-1.08,-0.79,-0.56,-0.41,-0.26,-0.11,0,0.15,0.3,0.45,0.67,0.93,1.27,1.65,2.09,2.88,12.11,15.14,15.7,16.3,17.05,18.02,19.03,128.81,3.885,8645.28,0.257,1,1,1,1958686303,36170707,70639.20954,-146.227389,66.605959,126.65,213.772613,66.605959,129.05,213.772616,66.605958,133.2,-1.01,-0.71,-0.56,-0.41,-0.26,-0.11,0.04,0.19,0.34,0.49,0.79,1.24,1.68,2.13,2.58,3.18,3.78,4.53,4.68,4.83,5.13,5.43,6.55,283.97,2.279,12625.99,0.393,0.981,1,1,1,0.80018637675041,0.219999999999999,0.0700000000000001,0.0800000000000001,0,0,0,0,0.04,0.04,0.04,0.04,0.12,0.31,0.41,0.48,0.49,0.3,-8.33,-10.61,-11.02,-11.47,-11.92,-12.59,-12.48,294.64,-Inf,-Inf,TRUE,TRUE,NA
"1135",1957949067,7940537,67868.165,-146.223934,66.604982,128.77,213.776062,66.604983,131.24,-1.01,-0.82,-0.63,-0.52,-0.41,-0.3,-0.22,-0.11,-0.04,0.07,0.15,0.22,0.34,0.45,0.56,0.75,0.93,1.31,1.42,1.53,1.68,1.94,2.46,128.11,5.125,8656.27,0.171,1,1,1,1958686303,36170659,70639.19754,-146.223946,66.604982,129,213.776055,66.604982,130.46,213.776056,66.604982,132.29,-0.94,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.26,0.26,0.41,0.86,1.31,1.76,1.91,2.06,2.21,2.51,3.3,271.72,1.529,12615.68,0.242,0.965,1,1,1,0.531713783788042,0.22999999999999,0.0700000000000001,0.0299999999999999,-0.01,0.03,-0.08,-0.04,-0.12,-0.08,-0.15,-0.11,-0.19,-0.11,-0.08,-0.19,-0.15,0.11,0.38,0.45,0.49,0.53,0.53,0.57,0.84,294.64,-Inf,-Inf,TRUE,TRUE,NA
