"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","HLON_1","HLAT_1","ZH_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","SENSITIVITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"338544",1958682415,49694615,66519.49144,-148.040839,64.982726,318.18,211.959148,64.982731,327.74,211.959146,64.982732,329.53,-1.23,-0.93,-0.78,-0.63,-0.49,-0.34,-0.19,-0.19,-0.04,0.11,0.26,0.41,0.56,0.71,1.01,1.31,2.65,9.37,9.67,9.82,10.12,10.42,11.35,132.74,4.836,12004.46,0.443,0.973,1,1,1,1958686362,43203478,72397.41663,-148.040847,64.982718,317.96,211.959138,64.982722,328.2,211.959135,64.982722,329.92,-1.31,-1.01,-0.71,-0.56,-0.41,-0.26,-0.11,-0.11,0.04,0.19,0.34,0.64,0.78,1.08,1.38,1.83,7.96,9.9,10.2,10.35,10.65,10.8,11.96,115.76,4.382,12457.32,0.429,0.982,1,1,1,0.968234396609874,-0.220000000000027,-0.0800000000000001,-0.08,0.0700000000000001,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.23,0.22,0.37,0.37,0.52,5.31,0.530000000000001,0.529999999999999,0.529999999999999,0.530000000000001,0.380000000000001,0.610000000000001,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341364",1958682415,49699913,66520.81595,-148.051133,64.981979,304.11,211.948867,64.981979,304.11,211.948864,64.981981,307.51,-1.68,-1.38,-1.08,-0.94,-0.64,-0.49,-0.34,-0.19,-0.04,0.11,0.26,0.41,0.71,1.01,1.16,1.46,1.76,2.21,2.36,2.51,2.66,2.81,3.4,138.92,3.238,11995.48,0.334,0.931,1,1,1,1958686362,43198101,72396.07236,-148.05112,64.981975,304.03,211.94888,64.981975,304.03,211.948874,64.981976,309.99,-1.16,-1.01,-0.71,-0.56,-0.41,-0.41,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.34,0.49,0.79,1.09,1.68,2.58,2.88,3.33,4.08,4.68,5.95,112.84,2.801,12449.53,0.2,0.98,1,1,1,0.758343363827058,-0.0800000000000409,0.52,0.37,0.37,0.38,0.23,0.08,0.08,0.08,-0.07,-0.07,-0.22,-0.22,-0.37,-0.52,-0.37,-0.37,-0.0800000000000001,0.37,0.52,0.82,1.42,1.87,2.55,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341365",1958682415,49699914,66520.8162,-148.051244,64.981914,303.8,211.948745,64.981919,317.75,211.948744,64.98192,319.17,-1.5,-1.2,-0.9,-0.6,-0.3,-0.15,0.15,0.45,0.75,1.05,1.5,1.95,2.54,3.74,7.18,10.18,11.82,13.32,13.62,13.92,14.22,14.67,15.38,139.65,3.249,11996.53,0.53,0.948,1,1,1,1958686362,43198100,72396.07211,-148.051243,64.981909,305.94,211.948744,64.981912,320.2,211.948742,64.981912,321.81,-3.26,-2.66,-2.21,-1.76,-1.31,-1.01,-0.71,-0.41,-0.11,0.19,0.49,0.94,1.24,2.28,6.48,8.72,10.37,12.01,12.46,13.21,13.96,14.71,15.87,113.69,2.79,12449.83,0.533,0.98,1,1,1,0.5592500215222,2.13999999999999,-1.76,-1.46,-1.31,-1.16,-1.01,-0.86,-0.86,-0.86,-0.86,-0.86,-1.01,-1.01,-1.3,-1.46,-0.699999999999999,-1.46,-1.45,-1.31,-1.16,-0.709999999999999,-0.26,0.0400000000000009,0.489999999999998,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341367",1958682415,49699916,66520.8167,-148.051327,64.982039,304.62,211.948673,64.982039,304.62,211.948671,64.98204,307.05,-1.35,-1.2,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.15,-0.15,0,0,0.15,0.3,0.45,0.6,0.9,1.35,1.5,1.65,1.8,2.1,2.43,139.12,3.186,11993.38,0.194,0.875,1,1,1,1958686362,43198098,72396.07161,-148.051321,64.982038,304.47,211.948666,64.982041,318.43,211.948663,64.982041,321.53,-1.16,-0.86,-0.56,-0.41,-0.26,-0.26,-0.11,0.04,0.19,0.34,0.64,1.09,2.73,6.33,8.72,11.12,12.31,14.11,14.56,15.01,15.46,15.91,17.07,112.56,2.749,12446.98,0.555,0.98,1,1,1,0.304283979874032,-0.149999999999977,0.19,0.34,0.34,0.34,0.34,0.19,0.34,0.34,0.34,0.49,0.64,1.09,2.58,6.03,8.27,10.52,11.41,12.76,13.06,13.36,13.66,13.81,14.64,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341368",1958682415,49699917,66520.81695,-148.051431,64.981977,304.27,211.948557,64.981983,320.17,211.948556,64.981984,321.33,-1.05,-0.75,-0.6,-0.45,-0.3,-0.3,-0.15,0,0.15,0.15,0.3,0.6,1.5,3.59,7.63,11.37,13.32,15.12,15.42,15.71,16.01,16.31,17.06,139.82,3.196,11994.13,0.674,0.963,1,1,1,1958686362,43198097,72396.07136,-148.051441,64.981972,304.13,211.948544,64.981975,319.77,211.948543,64.981975,321.31,-0.82,-0.67,-0.52,-0.37,-0.22,-0.07,-0.07,0.07,0.22,0.52,1.27,2.92,4.12,7.11,9.66,11.75,12.95,14.6,15.05,15.35,15.8,16.25,17.18,113.42,2.738,12447.58,0.58,0.98,1,1,1,0.73022049901693,-0.139999999999986,0.23,0.08,0.08,0.08,0.08,0.23,0.08,0.07,0.07,0.37,0.97,2.32,2.62,3.52,2.03,0.380000000000001,-0.370000000000001,-0.52,-0.369999999999999,-0.360000000000001,-0.210000000000001,-0.0599999999999987,0.120000000000001,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341370",1958682415,49699919,66520.81745,-148.051511,64.982093,305.47,211.948489,64.982093,305.47,211.948488,64.982094,307.45,-1.27,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,0.07,0.07,0.22,0.22,0.37,0.52,0.82,0.97,0.97,1.27,1.57,1.98,139.33,3.137,11991.59,0.151,0.889,1,1,1,1958686362,43198095,72396.07086,-148.051505,64.982099,305.56,211.948485,64.982101,316.56,211.948483,64.982101,318.25,-1.16,-0.86,-0.71,-0.56,-0.56,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.34,0.49,0.79,2.13,7.67,8.72,9.47,10.52,11.42,12.69,112.26,2.7,12445.49,0.122,0.979,1,1,1,0.726178769936096,0.089999999999975,0.11,0.11,0.11,0.11,-0.04,0.11,0.11,0.11,0.11,0.11,0.11,-0.03,0.12,0.12,0.27,0.42,1.61,6.85,7.75,8.5,9.25,9.85,10.71,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341371",1958682415,49699920,66520.8177,-148.051615,64.982031,305.1,211.948377,64.982035,315.73,211.948376,64.982035,316.89,-1.12,-0.82,-0.67,-0.52,-0.37,-0.22,-0.22,-0.07,0.07,0.22,0.37,0.52,1.57,4.86,6.81,8.01,9.2,10.25,10.55,10.7,10.85,11.15,11.79,140.04,3.147,11992.34,0.484,0.921,1,1,1,1958686362,43198094,72396.07061,-148.051632,64.982029,305,211.948358,64.982031,315.63,211.948356,64.982031,317.99,-1.05,-0.75,-0.6,-0.45,-0.45,-0.3,-0.15,-0.15,0,0,0.15,0.3,0.45,0.9,5.24,7.19,8.98,10.33,10.63,10.93,11.23,11.83,12.99,113.18,2.689,12445.49,0.56,0.978,1,1,1,0.832617466616337,-0.100000000000023,0.0700000000000001,0.07,0.0700000000000001,0.07,-0.08,-0.08,0.07,-0.08,-0.07,-0.22,-0.22,-0.22,-1.12,-3.96,-1.57,-0.819999999999999,-0.219999999999999,0.0800000000000001,0.0800000000000001,0.23,0.380000000000001,0.68,1.2,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341373",1958682415,49699922,66520.8182,-148.051698,64.982156,306.32,211.948302,64.982156,306.32,211.948299,64.982158,310.1,-1.27,-1.12,-0.82,-0.67,-0.52,-0.52,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.22,0.22,0.37,0.52,0.82,2.32,2.62,2.92,3.22,3.52,3.78,139.5,3.084,11990.99,0.273,0.896,1,1,1,1958686362,43198092,72396.07011,-148.051706,64.982162,306.33,211.948284,64.982164,317.67,211.948282,64.982164,319.51,-1.01,-0.86,-0.71,-0.56,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.34,0.49,2.73,5.13,9.77,11.12,11.27,11.57,11.87,12.17,13.18,111.95,2.648,12443.99,0.574,0.982,1,1,1,0.767910870921965,0.00999999999999091,0.26,0.26,0.11,0.11,0.11,0.26,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.27,2.36,4.61,8.95,8.8,8.65,8.65,8.65,8.65,9.4,187.71,-Inf,-Inf,TRUE,TRUE,NA
"341417",1958682415,49699991,66520.83545,-148.056119,64.983482,309.63,211.94388,64.983482,311.62,211.943879,64.983483,313.53,-0.94,-0.64,-0.49,-0.19,-0.04,0.11,0.41,0.56,0.86,1.01,1.31,1.61,1.76,2.06,2.21,2.51,2.81,3.26,3.26,3.41,3.56,3.71,3.9,147.88,1.919,11975.32,0.394,0.756,1,1,1,1958686362,43198025,72396.05336,-148.056118,64.983475,309.76,211.943879,64.983476,314.75,211.943878,64.983476,316.88,-1.39,-0.94,-0.64,-0.49,-0.19,-0.04,0.26,0.41,0.71,1.01,1.31,1.46,1.76,1.91,2.21,2.51,2.81,3.56,4.16,4.61,5.06,5.66,7.12,101.28,1.541,12434.16,0.439,0.984,1,1,1,0.781583819739762,0.129999999999995,-0.45,-0.3,-0.15,-0.3,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,-0.15,0,-0.15,0,0,0,0.3,0.9,1.2,1.5,1.95,3.22,187.71,-Inf,-Inf,TRUE,TRUE,NA
"342399",1958682415,49701131,66521.12045,-148.04772,64.9801,290.81,211.952273,64.980103,296.68,211.952269,64.980104,300.01,-1.01,-0.86,-0.71,-0.56,-0.41,-0.26,-0.11,-0.11,0.04,0.19,0.19,0.34,0.64,2.13,3.77,4.82,5.87,7.06,7.36,7.66,7.96,8.41,9.19,135.51,4.416,12024.3,0.427,0.955,1,1,1,1958686362,43196884,72395.76811,-148.04772,64.980096,290.82,211.952273,64.980097,296.16,211.952268,64.980098,300.16,-0.9,-0.75,-0.6,-0.45,-0.3,-0.15,-0.15,0,0.15,0.3,0.45,0.9,2.24,3.29,4.19,5.08,5.83,6.88,7.18,7.48,7.78,8.22,9.35,116.87,3.932,12475.96,0.483,0.977,1,1,1,0.445804202875504,0.00999999999999091,0.11,0.11,0.11,0.11,0.11,0.11,-0.04,0.11,0.11,0.11,0.26,0.56,1.6,1.16,0.42,0.26,-0.04,-0.18,-0.180000000000001,-0.18,-0.18,-0.19,0.16,187.71,-Inf,-Inf,TRUE,TRUE,NA
