"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"324320",1957949236,28224703,72939.247,-146.198884,66.609832,124.28,213.801114,66.609832,125.4,-0.94,-0.75,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.37,0.49,0.64,0.71,0.75,0.82,0.9,1.12,114.97,3.225,8640.07,0.145,1,1,1,1958686303,36152526,70634.66426,-146.198887,66.609831,124.37,213.801113,66.609831,124.37,213.801113,66.609831,125.61,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.04,0.19,0.19,0.34,0.34,0.49,0.49,0.64,1.24,155.49,1.654,12621.98,0.25,0.855,2,2,2,0.173463000192477,0.0900000000000034,-0.0700000000000001,-0.11,-0.07,-0.04,-0.11,-0.07,-0.15,-0.07,-0.11,-0.19,-0.11,-0.18,-0.11,-0.18,-0.26,-0.18,-0.3,-0.3,-0.37,-0.26,-0.33,-0.26,0.12,223.97,-Inf,-Inf,FALSE,FALSE,NA
"324364",1957949236,28224748,72939.259,-146.196653,66.60909,124.23,213.803346,66.60909,125.39,-0.9,-0.71,-0.6,-0.49,-0.41,-0.3,-0.22,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.75,0.78,0.86,0.93,1.16,117.96,4.058,8648.56,0.176,1,1,1,1958686303,36152494,70634.65626,-146.196657,66.609095,124.35,213.803343,66.609095,124.35,213.803343,66.609096,125.96,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.22,-0.07,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.37,0.52,0.52,0.52,1.61,149.07,2.196,12626.6,0.134,0.96,1,1,1,0.584859608711315,0.11999999999999,-0.07,-0.11,-0.0700000000000001,-0.03,-0.11,-0.07,-0.15,-0.03,-0.11,-0.18,-0.11,-0.18,-0.26,-0.19,-0.27,-0.19,-0.3,-0.3,-0.38,-0.26,-0.34,-0.41,0.45,223.97,-Inf,-Inf,TRUE,TRUE,NA
"324414",1957949236,28224801,72939.272,-146.197904,66.609201,124.75,213.802094,66.609201,125.91,-0.93,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.07,0.15,0.22,0.34,0.41,0.52,0.67,0.75,0.79,0.86,0.93,1.16,119.33,3.699,8644.39,0.116,1,1,1,1958686303,36153386,70634.87926,-146.197894,66.609197,125.08,213.802106,66.609197,125.08,213.802105,66.609197,126.84,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.76,148.08,1.927,12623.02,0.087,0.971,1,1,1,0.62855999886921,0.329999999999998,0.03,0,0,-0.11,-0.04,-0.11,-0.04,-0.11,-0.04,-0.11,-0.19,-0.07,-0.15,-0.22,-0.19,-0.26,-0.22,-0.22,-0.3,-0.34,-0.26,-0.33,0.6,223.97,-Inf,-Inf,TRUE,TRUE,NA
"324506",1957949236,28224893,72939.295,-146.202444,66.610733,124.23,213.797555,66.610733,125.24,-0.97,-0.79,-0.64,-0.52,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.11,0.19,0.3,0.37,0.49,0.64,0.67,0.71,0.79,0.86,1.01,109.15,2.015,8632.78,0.341,2,2,2,1958686303,36152575,70634.67651,-146.202434,66.610741,124.33,213.797566,66.610741,124.33,213.797566,66.610741,126.16,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.3,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.84,181,1.035,12619.15,0.134,0.98,1,1,1,0.995754125141752,0.0999999999999943,0.07,0.04,0.04,-0.08,0,-0.08,0,-0.08,-0.15,-0.08,-0.15,-0.07,-0.11,-0.19,-0.15,-0.22,-0.19,-0.19,-0.22,-0.26,-0.19,-0.26,0.83,223.97,-Inf,-Inf,FALSE,FALSE,NA
"325459",1957949236,28225846,72939.533,-146.201964,66.610381,124.22,213.798035,66.610381,125.34,-0.9,-0.71,-0.6,-0.49,-0.41,-0.3,-0.22,-0.15,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.75,0.79,0.86,0.94,1.12,109.23,2.304,8633.22,0.116,1,1,1,1958686303,36153329,70634.86501,-146.201974,66.610379,124.33,213.798026,66.610379,124.33,213.798026,66.610379,126.13,-1.05,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.8,169.67,1.068,12619.45,0.072,0.981,1,1,1,0.495936670833448,0.109999999999999,-0.15,-0.04,0,-0.11,-0.04,-0.15,-0.08,-0.15,-0.04,-0.11,-0.19,-0.11,-0.19,-0.26,-0.19,-0.26,-0.22,-0.22,-0.3,-0.34,-0.26,-0.34,0.68,223.97,-Inf,-Inf,TRUE,TRUE,NA
"325461",1957949236,28225848,72939.534,-146.202111,66.610309,124.22,213.797888,66.61031,125.27,-0.9,-0.71,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.71,0.75,0.82,0.9,1.05,110.83,2.282,8633.67,0.145,1,1,1,1958686303,36153330,70634.86526,-146.202105,66.610306,124.35,213.797895,66.610306,124.35,213.797895,66.610307,125.63,-0.94,-0.79,-0.64,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.11,0.26,0.41,0.41,0.41,0.56,0.56,1.27,171.36,1.1,12620.35,0.256,0.829,2,2,2,0.427184353620629,0.129999999999995,-0.0399999999999999,-0.0800000000000001,-0.04,-0.15,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.23,-0.11,-0.19,-0.11,-0.19,-0.3,-0.26,-0.26,-0.3,-0.34,-0.26,-0.34,0.22,223.97,-Inf,-Inf,FALSE,FALSE,NA
"325481",1957949236,28225868,72939.539,-146.200996,66.609999,124.22,213.799003,66.61,125.3,-0.9,-0.71,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.15,0.22,0.34,0.41,0.52,0.67,0.71,0.79,0.82,0.9,1.09,112.85,2.673,8636.2,0.134,1,1,1,1958686303,36153345,70634.86901,-146.201016,66.609998,124.33,213.798984,66.609998,124.33,213.798983,66.609998,126.12,-0.94,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.41,0.56,0.56,0.71,1.8,162.7,1.299,12620.79,0.134,0.983,1,1,1,0.892996217107175,0.109999999999999,-0.0399999999999999,-0.0800000000000001,-0.04,0,-0.08,0,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.19,-0.11,-0.23,-0.15,-0.26,-0.26,-0.3,-0.23,-0.26,-0.19,0.71,223.97,-Inf,-Inf,TRUE,TRUE,NA
"325538",1957949236,28225925,72939.553,-146.198142,66.609065,124.38,213.801856,66.609065,125.58,-0.93,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.71,0.75,0.82,0.9,0.97,1.2,117.47,3.73,8643.64,0.087,1,1,1,1958686303,36153388,70634.87976,-146.198136,66.609063,125.3,213.801864,66.609063,125.3,213.801863,66.609063,127.02,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0.15,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.72,150.31,1.961,12623.62,0.116,0.967,1,1,1,0.346932295646356,0.920000000000002,0.03,0,0,-0.11,-0.04,-0.11,-0.04,-0.11,-0.04,-0.11,-0.19,-0.11,-0.19,-0.11,-0.19,-0.26,-0.22,-0.26,-0.3,-0.37,-0.3,-0.37,0.52,223.97,-Inf,-Inf,TRUE,TRUE,NA
"325569",1957949236,28225957,72939.561,-146.196414,66.608561,126.98,213.803563,66.608566,142.34,0.49,3.62,5.6,6.91,7.7,8.3,8.74,9.04,9.34,9.57,9.79,10.01,10.24,10.46,10.69,10.99,11.36,12.07,12.33,12.7,13.19,13.83,15.36,118.65,4.354,8647.94,0.451,1,1,1,1958686303,36153412,70634.88576,-146.196421,66.608568,127.46,213.803574,66.608571,138.02,213.803571,66.608573,142.81,0.34,3.03,5.28,6.63,7.83,8.42,8.87,9.32,9.62,9.77,10.07,10.22,10.37,10.67,10.82,11.12,11.42,12.17,12.47,12.92,13.22,13.82,15.35,145.9,2.353,12624.5,0.411,0.981,1,1,1,0.839681404310802,0.47999999999999,-0.15,-0.59,-0.319999999999999,-0.28,0.13,0.119999999999999,0.129999999999999,0.280000000000001,0.279999999999999,0.199999999999999,0.280000000000001,0.210000000000001,0.129999999999999,0.209999999999999,0.130000000000001,0.129999999999999,0.0600000000000005,0.0999999999999996,0.140000000000001,0.220000000000001,0.0300000000000011,-0.00999999999999979,-0.00999999999999979,223.97,-Inf,-Inf,TRUE,TRUE,NA
"325585",1957949236,28225975,72939.565,-146.196782,66.6085,126.87,213.803201,66.608503,138.68,0,0.9,3.51,4.63,5.49,6.28,6.91,7.4,7.74,8.03,8.33,8.59,8.86,9.12,9.38,9.68,9.98,10.43,10.58,10.69,10.87,11.14,11.81,119.83,4.283,8649.44,0.414,1,1,1,1958686303,36153770,70634.97526,-146.196769,66.608505,127.42,213.803225,66.608508,139.85,213.803224,66.608509,140.75,-0.07,0.37,2.17,3.82,5.17,6.07,6.96,7.41,7.86,8.16,8.46,8.76,8.91,9.21,9.51,9.66,9.96,10.56,10.71,10.86,11.31,12.21,13.33,145.54,2.306,12623.75,0.425,0.98,1,1,1,0.801478079601961,0.549999999999997,-0.07,-0.53,-1.34,-0.81,-0.32,-0.21,0.0499999999999998,0.00999999999999979,0.12,0.130000000000001,0.130000000000001,0.17,0.0500000000000007,0.0900000000000016,0.129999999999999,-0.0199999999999996,-0.0199999999999996,0.130000000000001,0.130000000000001,0.17,0.440000000000001,1.07,1.52,223.97,-Inf,-Inf,TRUE,TRUE,NA
