"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","CHAN_ZG","CHAN_ZT","CHAN_R"
"314433",1957949238,28546372,73019.665,-146.345328,66.534644,122.57,213.65467,66.534645,123.65,-0.93,-0.75,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.71,0.78,0.82,0.93,1.08,118.41,4.348,8654.08,0.16,1,1,1,1958686304,36330439,70679.14287,-146.345342,66.534649,122.31,213.654658,66.534649,122.31,213.654659,66.534649,123.85,-1.01,-0.71,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.49,0.64,1.54,260.06,1.175,12622.59,0.649,0.942,2,2,2,0.835249768172413,-0.259999999999991,-0.08,0.04,-0.07,-0.04,0,-0.07,0,-0.07,-0.15,-0.07,-0.11,-0.18,-0.11,-0.18,-0.11,-0.22,-0.18,-0.18,-0.22,-0.29,-0.33,-0.29,0.46,FALSE,FALSE,NA
"316867",1957949239,28548811,73020.275,-146.347976,66.53456,123.41,213.652022,66.53456,124.8,-0.93,-0.75,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.3,0.41,0.52,0.71,0.75,0.82,0.9,1.01,1.38,116.9,3.783,8647.08,0.087,1,1,1,1958686304,36331699,70679.45787,-146.347978,66.534554,123.86,213.652022,66.534554,123.86,213.652023,66.534554,125.29,-0.94,-0.79,-0.64,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.11,0.26,0.41,0.41,0.41,0.56,0.56,1.42,271.07,1.493,12621.98,0.105,0.891,1,1,1,0.674708745199376,0.450000000000003,-0.0099999999999999,-0.04,0,-0.12,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.19,-0.11,-0.19,-0.11,-0.19,-0.3,-0.26,-0.3,-0.34,-0.41,-0.34,-0.45,0.04,TRUE,TRUE,NA
"317956",1957949239,28549903,73020.548,-146.34885,66.534568,123.96,213.651148,66.534568,125.27,-0.93,-0.75,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.71,0.75,0.79,0.9,1.01,1.31,114.94,3.598,8644.99,0.145,1,1,1,1958686304,36332441,70679.64337,-146.348841,66.534566,124.38,213.651159,66.534566,124.38,213.65116,66.534566,126,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.64,0.79,1.61,277.28,1.564,12621.98,0.145,0.922,1,1,1,0.4578599643994,0.420000000000002,-0.08,-0.11,-0.07,-0.04,-0.11,-0.07,-0.15,-0.07,-0.15,-0.04,-0.11,-0.18,-0.11,-0.18,-0.11,-0.22,-0.18,-0.22,-0.26,-0.3,-0.26,-0.22,0.3,TRUE,TRUE,NA
"318003",1957949239,28549950,73020.56,-146.346734,66.533769,122.78,213.653265,66.533769,123.79,-0.93,-0.75,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.71,0.75,0.82,0.9,1.01,118.36,4.421,8654.08,0.204,1,1,1,1958686304,36332410,70679.63562,-146.346728,66.533765,123.08,213.653272,66.533765,123.08,213.653272,66.533765,124.54,-0.97,-0.82,-0.67,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.52,0.52,0.52,0.67,0.67,1.46,259.29,1.151,12619.89,0.116,0.868,1,1,1,0.519519532728479,0.299999999999997,-0.0399999999999999,-0.07,-0.03,-0.15,-0.11,-0.18,-0.11,-0.18,-0.11,-0.18,-0.07,-0.14,-0.08,-0.15,-0.08,-0.19,-0.15,-0.15,-0.19,-0.23,-0.15,-0.23,0.45,TRUE,TRUE,NA
"318067",1957949239,28550014,73020.576,-146.348457,66.534249,124.19,213.651541,66.53425,125.5,-0.97,-0.79,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.3,0.41,0.52,0.71,0.75,0.79,0.86,0.97,1.31,117.07,3.811,8646.78,0.145,1,1,1,1958686304,36332434,70679.64162,-146.348449,66.534247,124.59,213.651551,66.534247,124.59,213.651552,66.534247,126.12,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.64,0.79,1.54,271.38,1.474,12620.48,0.133,0.898,1,1,1,0.419610555478024,0.400000000000006,-0.04,-0.07,-0.07,-0.04,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.11,-0.18,-0.11,-0.18,-0.11,-0.22,-0.18,-0.22,-0.26,-0.3,-0.22,-0.18,0.23,TRUE,TRUE,NA
"318101",1957949239,28550048,73020.584,-146.350175,66.534737,124.45,213.649824,66.534737,125.57,-0.9,-0.75,-0.6,-0.49,-0.41,-0.34,-0.22,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.71,0.75,0.79,0.86,0.94,1.12,115.3,3.199,8639.62,0.116,1,1,1,1958686304,36332458,70679.64762,-146.350172,66.534731,124.93,213.649828,66.534731,124.93,213.649829,66.534731,126.54,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.64,1.61,278.93,1.839,12622.57,0.087,0.948,1,1,1,0.681985297646142,0.480000000000004,-0.11,-0.11,-0.11,-0.0700000000000001,-0.15,-0.07,-0.19,-0.07,-0.15,-0.07,-0.15,-0.22,-0.15,-0.22,-0.3,-0.22,-0.33,-0.37,-0.26,-0.3,-0.37,-0.3,0.49,TRUE,TRUE,NA
"319121",1957949239,28551070,73020.84,-146.350801,66.534717,124.65,213.649198,66.534718,125.74,-0.9,-0.75,-0.6,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.71,0.75,0.82,0.9,1.09,112.96,3.09,8639.18,0.103,1,1,1,1958686304,36332951,70679.77087,-146.350797,66.534711,125.07,213.649203,66.534711,125.07,213.649204,66.534711,126.57,-1.05,-0.75,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.3,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.5,281.65,1.905,12623.31,0.076,0.897,1,1,1,0.692044125341021,0.419999999999987,-0.15,0,-0.15,-0.08,-0.04,-0.11,-0.04,-0.11,-0.19,-0.08,-0.15,-0.07,-0.15,-0.22,-0.15,-0.26,-0.22,-0.22,-0.26,-0.3,-0.22,-0.3,0.41,TRUE,TRUE,NA
"319155",1957949239,28551104,73020.848,-146.349211,66.534149,124.17,213.650787,66.53415,125.55,-0.93,-0.75,-0.6,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.56,0.71,0.75,0.82,0.9,1.01,1.38,116.02,3.692,8644.69,0.145,1,1,1,1958686304,36332976,70679.77712,-146.3492,66.534152,124.61,213.6508,66.534152,124.61,213.650801,66.534152,126.19,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.22,-0.07,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.52,0.52,0.52,0.67,1.57,273.99,1.545,12620.78,0.145,0.925,1,1,1,0.592243355436166,0.439999999999998,-0.0399999999999999,-0.07,-0.0700000000000001,0,-0.11,-0.03,-0.11,-0.03,-0.11,-0.18,-0.11,-0.18,-0.26,-0.19,-0.27,-0.19,-0.34,-0.34,-0.23,-0.3,-0.38,-0.34,0.19,TRUE,TRUE,NA
"319225",1957949239,28551174,73020.866,-146.346763,66.533138,122.84,213.653235,66.533138,123.92,-0.93,-0.75,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.75,0.78,0.86,0.93,1.08,120.21,4.681,8657.05,0.116,1,1,1,1958686304,36333683,70679.95387,-146.346767,66.533138,123.37,213.653233,66.533138,123.37,213.653233,66.533138,125.01,-0.94,-0.79,-0.64,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.11,0.26,0.41,0.41,0.41,0.56,0.56,1.65,255.19,0.974,12619.6,0.176,0.952,1,1,1,0.17775019277592,0.530000000000001,-0.0099999999999999,-0.04,-0.01,-0.12,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.19,-0.11,-0.19,-0.11,-0.23,-0.3,-0.26,-0.3,-0.34,-0.37,-0.3,-0.37,0.57,TRUE,TRUE,NA
"319298",1957949239,28551247,73020.884,-146.350389,66.53439,124.64,213.649609,66.53439,125.76,-0.94,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.71,0.75,0.79,0.86,0.94,1.12,115.36,3.309,8641.56,0.145,1,1,1,1958686304,36332962,70679.77362,-146.350407,66.534393,125.09,213.649593,66.534393,125.09,213.649594,66.534393,126.66,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.07,0.22,0.22,0.37,0.52,0.52,0.52,0.67,1.57,277.22,1.8,12622.57,0.116,0.93,1,1,1,0.866931554567498,0.450000000000003,-0.03,-0.07,-0.0700000000000001,-0.03,-0.11,-0.03,-0.11,-0.03,-0.11,-0.18,-0.11,-0.18,-0.12,-0.19,-0.27,-0.19,-0.3,-0.34,-0.23,-0.27,-0.34,-0.27,0.45,TRUE,TRUE,NA
