"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","HLON_1","HLAT_1","ZH_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","SENSITIVITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"340769",1958686460,54991184,75344.36714,-148.467792,65.03378,286.07,211.53218,65.03379,305.97,211.532178,65.033791,307.76,0.52,2.46,5.15,6.8,7.99,9.19,10.08,10.68,11.28,11.87,13.37,14.56,15.91,16.8,17.55,18.3,19.19,19.94,20.09,20.24,20.39,20.69,21.69,131.08,4.873,12497.45,0.644,0.98,1,1,1,1958686584,69912865,79074.81779,-148.467803,65.033779,285.9,211.532203,65.03378,303.55,211.532204,65.03378,307.25,0.04,0.94,3.18,6.33,8.13,9.48,10.23,10.83,11.43,12.78,13.98,15.03,16.07,16.82,17.27,17.87,18.47,19.37,19.52,19.82,19.97,20.42,21.36,258.49,0.804,12457.57,0.624,0.981,1,1,1,0.529951160747414,-0.170000000000016,-0.48,-1.52,-1.97,-0.47,0.140000000000001,0.290000000000001,0.15,0.15,0.15,0.91,0.610000000000001,0.469999999999999,0.16,0.0199999999999996,-0.280000000000001,-0.43,-0.720000000000002,-0.57,-0.57,-0.419999999999998,-0.420000000000002,-0.27,-0.330000000000002,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340772",1958686460,54991187,75344.36789,-148.468003,65.033835,287.68,211.53197,65.033845,307.77,211.531966,65.033847,310.91,1.08,7.95,13.78,15.42,16.32,17.06,17.51,17.96,18.41,18.71,19.16,19.45,19.75,20.05,20.35,20.65,21.1,21.55,21.55,21.69,21.84,22.14,23.23,131.18,4.821,12494.16,0.574,0.982,1,1,1,1958686584,69912868,79074.81854,-148.468012,65.033836,287.63,211.531994,65.033836,307.38,211.531995,65.033836,310.38,-0.19,0.26,4.61,10.3,13.45,14.95,15.85,16.6,17.2,17.65,18.1,18.4,18.85,19.3,19.6,19.9,20.2,20.8,20.95,21.1,21.25,21.7,22.74,261.08,0.843,12455.32,0.599,0.978,1,1,1,0.438305388488525,-0.0500000000000114,-1.27,-7.69,-9.17,-5.12,-2.87,-2.11,-1.66,-1.36,-1.21,-1.06,-1.06,-1.05,-0.899999999999999,-0.75,-0.75,-0.75,-0.900000000000002,-0.75,-0.600000000000001,-0.59,-0.59,-0.440000000000001,-0.490000000000002,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340777",1958686460,54991192,75344.36914,-148.468428,65.033752,288.47,211.531548,65.033761,306.77,211.531543,65.033763,310.54,0.19,4.82,9.9,12.14,13.18,14.38,15.27,15.87,16.47,16.92,17.22,17.51,17.81,18.11,18.41,18.71,19.16,19.75,19.9,20.2,20.5,20.95,22.07,132.27,4.782,12492.97,0.557,0.979,1,1,1,1958686584,69913448,79074.96354,-148.46844,65.033746,288.43,211.531566,65.033746,306.64,211.531567,65.033746,309.82,0.15,3.75,9.14,11.54,12.89,13.94,14.84,15.59,16.04,16.49,16.94,17.24,17.54,17.84,18.14,18.44,18.74,19.18,19.33,19.63,19.93,20.38,21.4,266.82,0.834,12453.97,0.539,0.98,1,1,1,0.875585574289099,-0.0400000000000205,-0.04,-1.07,-0.76,-0.600000000000001,-0.289999999999999,-0.440000000000001,-0.43,-0.279999999999999,-0.43,-0.430000000000003,-0.279999999999998,-0.270000000000003,-0.27,-0.27,-0.27,-0.27,-0.420000000000002,-0.57,-0.57,-0.57,-0.57,-0.57,-0.670000000000002,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340778",1958686460,54991193,75344.36939,-148.46841,65.03395,291.66,211.531564,65.03396,311.16,211.53156,65.033962,314.74,0.07,0.82,8.89,12.62,14.86,15.76,16.36,16.96,17.55,18,18.3,18.75,19.05,19.35,19.64,19.94,20.39,20.99,21.14,21.29,21.44,21.88,23.08,131.32,4.718,12488.48,0.591,0.983,1,1,1,1958686584,69912874,79074.82004,-148.468419,65.033943,291.64,211.531587,65.033943,309.85,211.531589,65.033943,314.54,0.04,0.94,3.63,10.98,13.68,15.03,15.77,16.22,16.82,17.27,17.72,18.17,18.47,18.92,19.37,19.82,20.27,20.87,21.02,21.32,21.47,21.92,22.89,265.38,0.923,12452.17,0.613,0.977,1,1,1,0.887906024572777,-0.0200000000000387,-0.03,0.12,-5.26,-1.64,-1.18,-0.73,-0.59,-0.740000000000002,-0.73,-0.73,-0.580000000000002,-0.579999999999998,-0.580000000000002,-0.43,-0.27,-0.120000000000001,-0.120000000000001,-0.119999999999997,-0.120000000000001,0.0300000000000011,0.0299999999999976,0.0400000000000027,-0.189999999999998,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340780",1958686460,54991195,75344.36989,-148.468628,65.033804,290.22,211.531348,65.033813,308.75,211.531343,65.033815,312.56,7.43,10.87,12.66,14,15.05,15.8,16.25,16.69,16.99,17.29,17.59,18.04,18.34,18.64,18.93,19.23,19.68,20.28,20.28,20.58,20.73,21.03,22.33,132.37,4.732,12489.53,0.578,0.982,1,1,1,1958686584,69913445,79074.96279,-148.468641,65.033807,290.24,211.531365,65.033807,308.71,211.531367,65.033807,313.32,8.62,11.77,13.26,14.61,15.51,16.11,16.41,16.86,17.16,17.46,17.76,18.06,18.36,18.51,18.81,19.11,19.71,20.46,20.61,20.91,21.36,21.96,23.08,268.98,0.877,12452.32,0.476,0.98,1,1,1,0.697644913390984,0.0199999999999818,1.19,0.9,0.6,0.609999999999999,0.459999999999999,0.309999999999999,0.16,0.169999999999998,0.170000000000002,0.170000000000002,0.170000000000002,0.0199999999999996,0.0199999999999996,-0.129999999999999,-0.120000000000001,-0.120000000000001,0.0300000000000011,0.18,0.329999999999998,0.330000000000002,0.629999999999999,0.93,0.75,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340781",1958686460,54991196,75344.37014,-148.468623,65.034009,294,211.53135,65.034019,314.99,211.531348,65.03402,316.52,-0.04,0.56,6.39,9.67,10.72,11.76,12.81,13.41,13.86,14.3,14.75,15.2,15.8,16.4,16.99,17.74,19.09,20.43,20.73,21.03,21.18,21.48,22.52,131.41,4.665,12485.79,0.575,0.981,1,1,1,1958686584,69912877,79074.82079,-148.468621,65.034001,293.55,211.531386,65.034001,312.14,211.531387,65.034001,315.39,3.26,10.15,11.5,13.15,13.9,14.5,14.95,15.4,16,16.45,17.05,17.35,17.8,18.1,18.4,18.7,19.15,19.6,19.75,19.9,20.2,20.8,21.84,267.37,0.964,12449.77,0.542,0.978,1,1,1,0.896602536003524,-0.449999999999989,3.3,9.59,5.11,3.48,3.18,2.74,2.14,1.99,2.14,2.15,2.3,2.15,2,1.7,1.41,0.960000000000001,0.0599999999999987,-0.829999999999998,-0.98,-1.13,-0.98,-0.68,-0.68,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340783",1958686460,54991198,75344.37064,-148.46884,65.033863,292.26,211.531134,65.033873,312.02,211.53113,65.033874,315.15,0.15,1.49,4.03,9.86,13.45,15.24,16.58,17.33,17.93,18.38,18.82,19.12,19.42,19.72,20.02,20.32,20.62,21.06,21.21,21.36,21.66,21.96,22.89,132.47,4.679,12486.84,0.59,0.979,1,1,1,1958686584,69913442,79074.96204,-148.468842,65.033865,292.41,211.531165,65.033865,311.7,211.531166,65.033865,314.92,-0.45,-0.3,-0.15,0.15,0.45,2.7,3.45,3.9,8.84,13.19,15.29,16.49,17.39,18.14,18.73,19.18,19.78,20.53,20.68,20.98,21.28,21.58,22.52,270.84,0.921,12451.42,0.592,0.98,1,1,1,0.24199679492819,0.150000000000034,-0.6,-1.79,-4.18,-9.71,-13,-12.54,-13.13,-13.43,-9.09,-5.19,-3.53,-2.63,-2.03,-1.58,-1.29,-1.14,-0.84,-0.529999999999998,-0.530000000000001,-0.379999999999999,-0.379999999999999,-0.380000000000003,-0.370000000000001,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340784",1958686460,54991199,75344.37089,-148.468833,65.034064,296.13,211.531138,65.034075,318.69,211.531135,65.034076,320.86,-0.37,-0.07,0.07,0.67,3.51,6.2,11.88,13.67,14.42,15.31,16.21,16.96,17.56,18.15,18.6,19.2,20.54,22.19,22.49,22.78,23.08,23.68,24.73,131.51,4.613,12482.5,0.606,0.981,1,1,1,1958686584,69912880,79074.82154,-148.468834,65.034059,296.05,211.531172,65.034059,314.07,211.531174,65.034059,317.25,0.04,0.79,4.38,8.73,12.78,13.98,14.73,15.47,16.07,16.52,16.97,17.27,17.57,17.87,18.17,18.47,18.92,19.37,19.52,19.67,19.82,20.12,21.21,269.21,1.009,12447.82,0.554,0.977,1,1,1,0.559262101833161,-0.0799999999999841,0.41,0.86,4.31,8.06,9.27,7.78,2.85,1.8,1.65,1.21,0.759999999999998,0.309999999999999,0.0100000000000016,-0.279999999999998,-0.43,-0.73,-1.62,-2.82,-2.97,-3.11,-3.26,-3.56,-3.52,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340786",1958686460,54991201,75344.37139,-148.469051,65.033918,294.6,211.53093,65.033926,309.92,211.530925,65.033927,313.58,-0.86,-0.56,-0.41,-0.11,0.04,0.34,0.63,3.77,5.27,6.01,7.66,8.55,9.3,11.39,13.48,14.53,15.28,16.02,16.17,16.47,16.92,17.67,18.97,132.58,4.628,12484.29,0.565,0.979,1,1,1,1958686584,69913439,79074.96129,-148.469053,65.033924,294.65,211.530952,65.033923,309.34,211.530954,65.033923,314.43,-0.6,-0.45,-0.15,0,0.3,0.9,5.7,8.24,10.34,11.54,12.89,13.64,14.24,14.54,14.99,15.29,15.74,16.49,16.79,17.24,17.84,18.58,19.78,272.53,0.968,12450.22,0.543,0.98,1,1,1,0.675332338140885,0.0499999999999545,0.26,0.11,0.26,0.11,0.26,0.56,5.07,4.47,5.07,5.53,5.23,5.09,4.94,3.15,1.51,0.76,0.460000000000001,0.469999999999999,0.619999999999997,0.77,0.919999999999998,0.909999999999997,0.810000000000002,296.44,-Inf,-Inf,TRUE,TRUE,NA
"340787",1958686460,54991202,75344.37164,-148.469052,65.034119,298.63,211.530926,65.034127,315.74,211.53092,65.034129,320.56,-0.3,0.15,0.75,1.79,4.33,9.56,12.7,14.49,15.39,15.84,16.14,16.44,16.88,17.18,17.48,17.78,18.38,19.27,19.57,19.87,20.17,20.77,21.93,131.62,4.56,12479.05,0.571,0.983,1,1,1,1958686584,69912883,79074.82229,-148.469034,65.034121,298.37,211.530974,65.034121,316.62,211.530975,65.034121,320.22,0.41,7.16,11.8,13.3,14.35,15.1,15.7,16.3,16.6,17.05,17.35,17.65,18.1,18.4,18.7,19,19.45,20.05,20.2,20.34,20.49,20.79,21.84,271.03,1.052,12445.12,0.555,0.979,1,1,1,0.876602120789818,-0.259999999999991,0.71,7.01,11.05,11.51,10.02,5.54,3,1.81,1.21,1.21,1.21,1.21,1.22,1.22,1.22,1.22,1.07,0.780000000000001,0.629999999999999,0.469999999999999,0.319999999999997,0.0199999999999996,-0.0899999999999999,296.44,-Inf,-Inf,TRUE,TRUE,NA
