"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"818",1957937628,2501841,87220.915,-146.026492,64.121654,340.72,213.973508,64.121654,341.88,-1.27,-1.05,-0.86,-0.71,-0.6,-0.49,-0.37,-0.3,-0.19,-0.11,0,0.07,0.15,0.26,0.37,0.49,0.64,0.82,0.86,0.9,0.97,1.05,1.16,245.27,0.884,8342.47,0.199,1,1,1,1958686944,113022932,89852.42236,-146.026478,64.121656,341.25,213.973522,64.121656,341.25,213.973523,64.121657,343.42,-1.12,-0.97,-0.82,-0.67,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.52,0.67,0.82,0.82,0.97,1.12,2.17,213.26,3.541,12425.96,0.113,0.981,1,1,1,0.71731361832674,0.529999999999973,0.15,0.0800000000000001,0.04,0.0399999999999999,0.08,0.12,0,0.08,-0.03,0.04,-0.07,0,-0.08,-0.04,-0.15,-0.12,-0.12,-0.15,-0.04,-0.0800000000000001,0,0.0700000000000001,1.01,245.99,-Inf,-Inf,TRUE,TRUE,NA
"911",1957937628,2502067,87220.972,-146.029162,64.120728,342.44,213.970839,64.120728,343.9,-1.2,-0.97,-0.79,-0.67,-0.52,-0.45,-0.34,-0.22,-0.15,-0.07,0,0.11,0.19,0.3,0.37,0.49,0.64,0.86,0.9,0.97,1.05,1.2,1.46,236.22,1.999,8345.74,0.076,1,1,1,1958686944,113024028,89852.69636,-146.02918,64.120731,342.81,213.97082,64.120731,342.81,213.970822,64.120732,344.83,-1.2,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,0,0,0.15,0.15,0.3,0.45,0.6,0.6,0.75,0.75,0.9,2.02,212.31,4.258,12435.05,0.097,0.98,1,1,1,0.938225454197995,0.370000000000005,0,0.07,0.04,0.0700000000000001,-0.08,0,-0.11,-0.08,-0.15,-0.08,-0.15,-0.11,-0.19,-0.15,-0.22,-0.19,-0.19,-0.26,-0.3,-0.22,-0.3,-0.3,0.56,245.99,-Inf,-Inf,TRUE,TRUE,NA
"976",1957937628,2502134,87220.988,-146.02696,64.121658,340.42,213.973041,64.121658,341.65,-1.27,-1.05,-0.86,-0.71,-0.6,-0.49,-0.37,-0.26,-0.19,-0.07,0,0.11,0.19,0.3,0.41,0.52,0.67,0.86,0.9,0.97,1.05,1.12,1.24,245.99,1,8343.07,0.09,1,1,1,1958686944,113022931,89852.42211,-146.02694,64.121656,340.73,213.97306,64.121656,340.73,213.973062,64.121657,342.82,-1.23,-0.93,-0.79,-0.64,-0.64,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.56,0.71,0.71,0.86,1.01,2.09,214.65,3.599,12426.86,0.137,0.978,1,1,1,0.999188730918534,0.310000000000002,0.04,0.12,0.07,0.07,-0.04,0,0.03,-0.08,0,-0.12,-0.04,-0.15,-0.08,-0.19,-0.15,-0.26,-0.26,-0.3,-0.19,-0.26,-0.19,-0.11,0.85,245.99,-Inf,-Inf,TRUE,TRUE,NA
"2166",1957937628,2503337,87221.289,-146.02805,64.121531,339.85,213.97195,64.121531,341.31,-1.24,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,0,0.07,0.15,0.26,0.34,0.45,0.6,0.79,0.82,0.9,0.97,1.09,1.46,238.42,1.277,8346.81,0.113,1,1,1,1958686944,113024001,89852.68961,-146.028062,64.121524,340,213.971938,64.121524,340,213.971939,64.121525,342.02,-1.2,-1.05,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,0,0,0.15,0.15,0.3,0.45,0.6,0.6,0.75,0.75,0.9,2.02,212.52,3.78,12431.04,0.054,0.981,1,1,1,0.974698098689551,0.149999999999977,0.04,-0.04,-0.0800000000000001,-0.08,-0.0399999999999999,0,-0.08,-0.04,-0.11,-0.04,-0.15,-0.07,-0.15,-0.11,-0.19,-0.15,-0.15,-0.19,-0.22,-0.15,-0.22,-0.19,0.56,245.99,-Inf,-Inf,TRUE,TRUE,NA
"2208",1957937628,2503379,87221.3,-146.029431,64.120922,341.85,213.970569,64.120923,343.01,-1.27,-1.01,-0.86,-0.71,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.07,0.15,0.22,0.34,0.45,0.56,0.75,0.79,0.86,0.94,1.01,1.16,233.52,1.92,8346.94,0.096,2,2,2,1958686944,113024177,89852.73361,-146.029439,64.120928,342.16,213.970561,64.120928,342.16,213.970563,64.120929,344.22,-1.38,-1.08,-0.93,-0.78,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.41,0.56,0.56,0.71,0.71,0.86,2.06,213.13,4.203,12435.2,0.054,0.98,1,1,1,0.773861391300221,0.310000000000002,-0.11,-0.0700000000000001,-0.0700000000000001,-0.0700000000000001,-0.08,-0.04,-0.12,-0.08,-0.15,-0.08,-0.15,-0.11,-0.19,-0.11,-0.23,-0.19,-0.15,-0.19,-0.23,-0.15,-0.23,-0.15,0.9,245.99,-Inf,-Inf,FALSE,FALSE,NA
"2234",1957937628,2503407,87221.307,-146.030382,64.120561,342.54,213.969618,64.120561,343.66,-1.27,-1.09,-0.9,-0.75,-0.64,-0.52,-0.41,-0.3,-0.22,-0.11,-0.04,0.07,0.15,0.26,0.37,0.49,0.64,0.79,0.86,0.9,0.94,1.01,1.12,232.56,2.34,8346.63,0.078,1,1,1,1958686944,113024164,89852.73036,-146.030385,64.120565,342.65,213.969615,64.120565,342.65,213.969616,64.120566,344.74,-1.16,-1.01,-0.86,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.64,0.78,0.78,0.93,0.93,2.09,214.15,4.475,12438.78,0.101,0.982,1,1,1,0.469085446243621,0.109999999999957,0.11,0.0800000000000001,0.04,0.04,0.08,0.11,0,0.04,-0.04,0,-0.07,-0.03,-0.11,-0.07,-0.18,-0.15,-0.15,-0.15,-0.08,-0.12,-0.0099999999999999,-0.08,0.97,245.99,-Inf,-Inf,TRUE,TRUE,NA
"2318",1957937628,2503547,87221.342,-146.029364,64.121141,340.48,213.970637,64.121141,342.28,-1.24,-0.97,-0.79,-0.67,-0.52,-0.41,-0.34,-0.22,-0.15,-0.07,0.04,0.11,0.19,0.3,0.37,0.49,0.64,0.86,0.9,0.97,1.09,1.24,1.8,236.3,1.796,8347.09,0.148,1,1,1,1958686944,113024184,89852.73536,-146.029349,64.121146,340.67,213.970651,64.121146,340.67,213.970653,64.121147,342.69,-1.12,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.37,0.37,0.67,0.67,0.67,0.82,0.97,2.02,213.72,4.098,12434.46,0.125,0.982,1,1,1,0.918762650750941,0.189999999999998,0.12,0,-0.0299999999999999,0,0,-0.11,-0.03,-0.15,-0.07,-0.15,-0.11,-0.18,-0.12,-0.23,-0.15,-0.12,-0.27,-0.19,-0.23,-0.3,-0.27,-0.27,0.22,245.99,-Inf,-Inf,TRUE,TRUE,NA
"2339",1957937628,2503568,87221.347,-146.028684,64.121448,339.68,213.971317,64.121449,341.22,-0.97,-0.79,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.82,0.9,0.97,1.12,1.54,238.84,1.476,8345.9,0.143,1,1,1,1958686944,113024195,89852.73811,-146.028699,64.121454,339.98,213.971301,64.121454,339.98,213.971303,64.121455,341.88,-1.12,-0.82,-0.67,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.52,0.52,0.67,0.67,0.82,1.91,213.18,3.886,12431.63,0.115,0.977,1,1,1,0.990310575193544,0.300000000000011,-0.15,-0.0299999999999999,0,-0.11,-0.07,-0.15,-0.11,-0.18,-0.11,-0.18,-0.11,-0.18,-0.12,-0.19,-0.12,-0.23,-0.19,-0.23,-0.3,-0.23,-0.3,-0.3,0.37,245.99,-Inf,-Inf,TRUE,TRUE,NA
"3541",1957937628,2504848,87221.667,-146.030241,64.12119,339.78,213.96976,64.12119,341.24,-1.01,-0.79,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.79,0.86,0.94,1.05,1.46,234.3,1.947,8348.14,0.143,1,1,1,1958686944,113025308,89853.01636,-146.030245,64.121188,340.36,213.969755,64.121188,340.36,213.969756,64.121189,342.27,-1.16,-0.86,-0.71,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.64,0.64,0.78,1.91,211.73,4.179,12435.96,0.115,0.976,1,1,1,0.296011598525876,0.580000000000041,-0.15,-0.07,-0.07,-0.19,-0.11,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.22,-0.15,-0.22,-0.15,-0.26,-0.22,-0.26,-0.3,-0.22,-0.3,-0.27,0.45,245.99,-Inf,-Inf,TRUE,TRUE,NA
"3554",1957937628,2504861,87221.67,-146.030613,64.120922,340.55,213.969388,64.120922,342.19,-0.97,-0.79,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.3,0.37,0.49,0.6,0.82,0.86,0.94,1.01,1.16,1.65,231.73,2.17,8348.58,0.105,1,1,1,1958686944,113025317,89853.01861,-146.030616,64.120915,340.89,213.969384,64.120915,340.89,213.969386,64.120916,342.91,-1.05,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0.15,0.15,0.3,0.45,0.6,0.6,0.75,0.75,0.9,2.02,211.65,4.341,12437.14,0.115,0.975,1,1,1,0.793628543115015,0.339999999999975,-0.0800000000000001,-0.11,-0.11,-0.08,-0.04,-0.11,-0.04,-0.11,-0.04,-0.11,-0.19,-0.11,-0.19,-0.15,-0.22,-0.19,-0.15,-0.22,-0.26,-0.19,-0.26,-0.26,0.37,245.99,-Inf,-Inf,TRUE,TRUE,NA
